No.,Kecamatan Wilayah Surabaya,2020_Temuan kasus,2020_ART,2021_Temuan kasus,2021_ART,2022_Temuan kasus,2022_ART,2023_Temuan kasus,2023_ART,2024_Temuan kasus,2024_ART,2025_Temuan kasus,2025_ART
1,Karang Pilang,5,5,11,11,9,9,6,6,8,8,13,10
2,Wonocolo,7,7,7,7,14,14,15,13,7,6,13,4
3,Rungkut,9,9,6,6,16,16,18,12,20,17,17,10
4,Wonokromo,21,21,18,18,31,31,48,36,38,32,30,15
5,Tegalsari,21,21,14,14,19,19,31,29,21,20,25,16
6,Sawahan,29,29,34,34,41,41,44,37,64,61,45,26
7,Genteng,7,7,10,10,8,8,8,8,16,14,4,3
8,Gubeng,22,22,19,19,24,21,36,31,29,25,31,16
9,Sukolilo,11,11,11,11,24,24,22,18,24,21,17,9
10,Tambaksari,29,29,34,34,40,40,47,41,54,44,49,26
11,Simokerto,10,10,10,10,18,18,18,15,16,12,17,7
12,Pabean Cantian,3,3,9,9,12,12,15,12,16,13,13,7
13,Bubutan,9,9,15,15,15,15,21,17,22,22,15,8
14,Tandes,14,14,17,17,15,15,17,17,21,18,19,10
15,Krembangan,16,16,16,16,18,18,29,26,25,24,19,12
16,Semampir,21,21,28,28,33,33,34,32,37,32,31,20
17,Kenjeran,17,17,16,16,23,23,36,31,34,30,27,10
18,Lakarsantri,4,4,5,5,7,7,10,10,8,6,15,9
19,Benowo,7,7,6,6,10,10,13,10,15,14,14,4
20,Wiyung,4,4,1,1,8,8,14,12,17,14,9,7
21,Dukuh Pakis,7,7,7,7,9,9,11,9,12,11,9,4
22,Gayungan,4,4,2,2,12,12,9,9,8,7,9,5
23,Jambangan,8,8,8,8,5,5,12,12,6,4,8,4
24,Tenggilis Mejoyo,5,5,4,4,7,7,14,12,12,12,7,4
25,Gunung Anyar,7,7,5,5,9,9,5,4,7,6,9,5
26,Mulyorejo,9,9,7,7,10,10,12,11,16,14,10,6
27,Sukomanunggal,12,12,15,15,22,22,33,30,17,15,16,8
28,Asemrowo,4,4,3,3,5,5,9,7,7,4,7,4
29,Bulak,4,4,6,6,6,6,6,3,8,6,6,5
30,Pakal,5,5,9,9,8,8,8,8,12,10,7,5
31,Sambikerep,5,5,7,7,8,8,13,11,20,17,11,5
