No,Nama,Status Pemilik,Jenis Pemilik,Kecamatan,Alamat,Layanan Tes HIV,Layanan PDP,Layanan Tes VL,Layanan Tes EID,Layanan Tes CD4
1,Balai Besar Kekarantinaan Kesehatan (BBKK) Surabaya Wilker Tanjung Perak,Pemerintah,Kemenkes,Pabean Cantian,"Jl. Perak Timur No. 514-516, Kel. Perak Utara, Kec. Pabean Cantikan, Kota Surabaya 60164 - Jawa Timur",Tidak,Tidak,Tidak,Tidak,Tidak
2,Balai Besar Laboratorium Kesehatan Masyarakat (BB Labkesmas) Surabaya,Pemerintah,Kemenkes,Gubeng,"Jl. Karang Menjangan No. 18, Kel. Airlangga, Kec. Gubeng, Kota Surabaya 60286 - Jawa Timur",Tidak,Tidak,Ya,Tidak,Tidak
3,Klinik Utama PKBI Jawa Timur,Swasta,Organisasi Non Profit,Wonokromo,"Jl. Indragiri No. 24, Kel. Darmo, Kec. Wonokromo, Kota Surabaya 60241 - Jawa Timur",Ya,Ya,Tidak,Tidak,Tidak
4,Puskesmas Asemrowo,Pemerintah,Pemda Kab./Kota,Asemrowo,"Jl. Asem Raya 8, Kec. Asemrowo",Ya,Ya,Ya,Tidak,Tidak
5,Puskesmas Balas Klumprik,Pemerintah,Pemda Kab./Kota,Wiyung,"Jl. Balasklumprik, Kec. Wiyung",Ya,Ya,Tidak,Tidak,Tidak
6,Puskesmas Balongsari,Pemerintah,Pemda Kab./Kota,Tandes,"Jl. Balongsari Tama, Kec. Tandes",Ya,Ya,Tidak,Tidak,Tidak
7,Puskesmas Bangkingan,Pemerintah,Pemda Kab./Kota,Lakarsantri,"Jl. Raya Bangkingan, Kec. Lakarsantri",Ya,Ya,Tidak,Tidak,Tidak
8,Puskesmas Banyu Urip,Pemerintah,Pemda Kab./Kota,Sawahan,"Jl. Banyu Urip Kidul VI/5, Kec. Sawahan",Ya,Ya,Tidak,Tidak,Tidak
9,Puskesmas Benowo,Pemerintah,Pemda Kab./Kota,Sambikerep,Jl. Raya Benowo Kec. Sambikerep,Ya,Ya,Ya,Tidak,Tidak
10,Puskesmas Bulak Banteng,Pemerintah,Pemda Kab./Kota,Kenjeran,Kec. Kenjeran,Tidak,Ya,Tidak,Tidak,Tidak
11,Puskesmas Dr. Soetomo,Pemerintah,Pemda Kab./Kota,Tegalsari,"Jl. Kupang Segunting II/32, Kec. Tegalsari",Ya,Ya,Tidak,Tidak,Tidak
12,Puskesmas Dukuh Kupang,Pemerintah,Pemda Kab./Kota,Dukuh Pakis,"Jl. Dukuh Kupang XXV /48, Kec. Dukuh Pakis",Ya,Ya,Tidak,Tidak,Tidak
13,Puskesmas Dupak,Pemerintah,Pemda Kab./Kota,Krembangan,"Jl. Dupak Bangunrejo Gg. Poliklinik 6, Kec. Krembangan",Ya,Ya,Ya,Tidak,Tidak
14,Puskesmas Gading,Pemerintah,Pemda Kab./Kota,Tambaksari,"Jl. Kapas Lor I/1, Kec. Tambaksari",Ya,Ya,Tidak,Tidak,Tidak
15,Puskesmas Gayungan,Pemerintah,Pemda Kab./Kota,Gayungan,"Jl. Gayungsari Barat 124, Kec. Gayungan",Ya,Ya,Tidak,Tidak,Tidak
16,Puskesmas Gundih,Pemerintah,Pemda Kab./Kota,Bubutan,"Jl. Margodadi 36-38, Kec. Bubutan",Ya,Ya,Tidak,Tidak,Tidak
17,Puskesmas Gunung Anyar,Pemerintah,Pemda Kab./Kota,Gunung Anyar,"Jl. Gunung Anyar Timur 70, Kec. Gunung Anyar",Ya,Ya,Tidak,Tidak,Tidak
18,Puskesmas Jagir,Pemerintah,Pemda Kab./Kota,Wonokromo,"Jl. Bendul Merisi I, Kec. Wonokromo",Ya,Ya,Ya,Tidak,Tidak
19,Puskesmas Jemursari,Pemerintah,Pemda Kab./Kota,Wonocolo,"Jl. Jemursari Selatan IV/5, Kec. Wonocolo",Ya,Ya,Tidak,Tidak,Tidak
20,Puskesmas Jeruk,Pemerintah,Pemda Kab./Kota,Lakarsantri,"Jl. Raya Menganti 277, Kec. Lakarsantri",Ya,Ya,Tidak,Tidak,Tidak
21,Puskesmas Kalijudan,Pemerintah,Pemda Kab./Kota,Mulyorejo,Kec. Mulyorejo,Ya,Ya,Tidak,Tidak,Tidak
22,Puskesmas Kalirungkut,Pemerintah,Pemda Kab./Kota,Rungkut,"Jl. Rungkut Puskesmas No. 1, Kec. Rungkut",Ya,Ya,Ya,Tidak,Tidak
23,Puskesmas Kebonsari,Pemerintah,Pemda Kab./Kota,Jambangan,"Jl. Kebon Sari Manunggal 30 - 31, Kec. Jambangan",Ya,Ya,Ya,Tidak,Tidak
24,Puskesmas Kedungdoro,Pemerintah,Pemda Kab./Kota,Tegalsari,"Jl. Kaliasin Gg. Pompa No. 79-81, Kec. Tegalsari",Ya,Ya,Tidak,Tidak,Tidak
25,Puskesmas Kedurus,Pemerintah,Pemda Kab./Kota,Karang Pilang,"Jl. Raya Mastrip No. 46, Kec. Karang Pilang",Ya,Ya,Ya,Tidak,Tidak
26,Puskesmas Kenjeran,Pemerintah,Pemda Kab./Kota,Kenjeran,"Jl. Tambak Deres, Kec. Kenjeran",Ya,Ya,Tidak,Tidak,Tidak
27,Puskesmas Keputih,Pemerintah,Pemda Kab./Kota,Sukolilo,"Jl. Keputih Tegal, Kec. Sukolilo",Ya,Ya,Tidak,Tidak,Tidak
28,Puskesmas Ketabang,Pemerintah,Pemda Kab./Kota,Genteng,"Jl. Taman Surya 1, Kec. Genteng",Ya,Ya,Tidak,Tidak,Tidak
29,Puskesmas Klampis Ngasem,Pemerintah,Pemda Kab./Kota,Sukolilo,"Jl. Arief Rachman Hakim 99 B, Kec. Sukolilo",Ya,Ya,Tidak,Tidak,Tidak
30,Puskesmas Krembangan Selatan,Pemerintah,Pemda Kab./Kota,Krembangan,"Jl. Pesapen Selatan 70, Kec. Krembangan",Ya,Ya,Ya,Tidak,Tidak
31,Puskesmas Lidah Kulon,Pemerintah,Pemda Kab./Kota,Lakarsantri,"Jl. Raya Menganti Lidah Kulon No.5, Kec. Lakarsantri",Ya,Ya,Ya,Tidak,Tidak
32,Puskesmas Lontar,Pemerintah,Pemda Kab./Kota,Sambikerep,"Jl. Raya Lontar No.26, Kec.Sambikerep",Ya,Ya,Tidak,Tidak,Tidak
33,Puskesmas Made,Pemerintah,Pemda Kab./Kota,Sambikerep,"Jl. Raya Made, Kec. Sambikerep",Ya,Ya,Tidak,Tidak,Tidak
34,Puskesmas Manukan Kulon,Pemerintah,Pemda Kab./Kota,Tandes,"Jl. Manukan Dalam Blok.18, Kec. Tandes",Ya,Ya,Tidak,Tidak,Tidak
35,Puskesmas Medokan Ayu,Pemerintah,Pemda Kab./Kota,Rungkut,"Jl. Medokan Asri Utara V/31, Kec. Rungkut",Ya,Ya,Tidak,Tidak,Tidak
36,Puskesmas Menur,Pemerintah,Pemda Kab./Kota,Sukolilo,"Jl. Manyar Rejo I/35, Kec. Sukolilo",Ya,Ya,Tidak,Tidak,Tidak
37,Puskesmas Mojo,Pemerintah,Kemenkes,Gubeng,"Jl. Mojo Klanggru Wetan II/11, Kec. Gubeng",Ya,Ya,Ya,Tidak,Tidak
38,Puskesmas Morokrembangan,Pemerintah,Pemda Kab./Kota,Krembangan,Kec. Krembangan,Tidak,Ya,Tidak,Tidak,Tidak
